            LEVEL NUMBER     A(K)            B(K)                         
                       1   0.0000           0.0000                        
                       2   2.0000           0.0000                        
                       3   2.9777           0.0000                        
                       4   4.3118           0.0000                        
                       5   6.0768           0.0000                        
                       6   8.3580           0.0000                        
                       7   11.244           0.0000                        
                       8   14.826           0.0000                        
                       9   19.194           0.0000                        
                      10   24.434           0.0000                        
                      11   30.631           0.0000                        
                      12   37.858           0.0000                        
                      13   46.184           0.0000                        
                      14   55.665           0.0000                        
                      15   66.353           0.0000                        
                      16   78.405           0.0000                        
                      17   91.938           0.0000                        
                      18   107.02           0.0000                        
                      19   123.85           0.0000                        
                      20   142.59           0.0000                        
                      21   163.36           0.0000                        
                      22   186.27           0.0000                        
                      23   211.41           0.0000                        
                      24   238.87           0.0000                        
                      25   268.73           0.0000                        
                      26   301.06           0.0000                        
                      27   335.92           0.0000                        
                      28   373.35           0.0000                        
                      29   413.41           0.0000                        
                      30   456.10           0.0000                        
                      31   501.47           0.0000                        
                      32   549.51           0.0000                        
                      33   600.22           0.0000                        
                      34   653.60           0.0000                        
                      35   709.64           0.0000                        
                      36   768.32           0.0000                        
                      37   829.61           0.0000                        
                      38   893.44           0.0000                        
                      39   959.59           0.0000                        
                      40   1028.0           0.0000                        
                      41   1098.5           0.0000                        
                      42   1171.1           0.0000                        
                      43   1245.8           0.0000                        
                      44   1322.5           0.0000                        
                      45   1401.1           0.0000                        
                      46   1481.6           0.0000                        
                      47   1563.9           0.0000                        
                      48   1648.1           0.0000                        
                      49   1733.9           0.0000                        
                      50   1821.5           0.0000                        
                      51   1910.8           0.0000                        
                      52   2001.8           0.0000                        
                      53   2094.4           0.0000                        
                      54   2188.7           0.0000                        
                      55   2284.6           0.0000                        
                      56   2382.2           0.0000                        
                      57   2481.5           0.0000                        
                      58   2582.5           0.0000                        
                      59   2685.3           0.0000                        
                      60   2789.8           0.0000                        
                      61   2896.2           0.0000                        
                      62   3004.4           0.0000                        
                      63   3114.6           0.0000                        
                      64   3226.9           0.0000                        
                      65   3341.3           0.0000                        
                      66   3457.9           0.0000                        
                      67   3576.9           0.0000                        
                      68   3698.4           0.0000                        
                      69   3822.5           0.0000                        
                      70   3949.4           0.0000                        
                      71   4079.3           0.0000                        
                      72   4212.4           0.0000                        
                      73   4348.8           0.0000                        
                      74   4488.9           0.0000                        
                      75   4633.0           0.0000                        
                      76   4781.2           0.0000                        
                      77   4934.0           0.0000                        
                      78   5091.7           0.0000                        
                      79   5254.6           0.0000                        
                      80   5422.8           0.0000                        
                      81   5596.6           0.0000                        
                      82   5776.0           0.0000                        
                      83   5961.1           0.0000                        
                      84   6152.1           0.0000                        
                      85   6349.2           0.0000                        
                      86   6552.7           0.0000                        
                      87   6762.7           0.0000                        
                      88   6979.4           0.0000                        
                      89   7202.9          0.17862E-05                    
                      90   7433.5          0.43137E-05                    
                      91   7671.2          0.96741E-05                    
                      92   7916.0          0.20148E-04                    
                      93   8167.8          0.38966E-04                    
                      94   8426.6          0.69984E-04                    
                      95   8692.1          0.11672E-03                    
