            LEVEL NUMBER     A(K)            B(K)                           
                       1   0.0000           0.0000                        
                       2   2.0000           0.0000                        
                       3   3.9808           0.0000                        
                       4   7.3872           0.0000                        
                       5   12.908           0.0000                        
                       6   21.414           0.0000                        
                       7   33.953           0.0000                        
                       8   51.747           0.0000                        
                       9   76.168           0.0000                        
                      10   108.72           0.0000                        
                      11   150.99           0.0000                        
                      12   204.64           0.0000                        
                      13   271.36           0.0000                        
                      14   352.82           0.0000                        
                      15   450.69           0.0000                        
                      16   566.52           0.0000                        
                      17   701.81           0.0000                        
                      18   857.95           0.0000                        
                      19   1036.2           0.0000                        
                      20   1237.6           0.0000                        
                      21   1463.2           0.0000                        
                      22   1713.7           0.0000                        
                      23   1989.9           0.0000                        
                      24   2292.2           0.0000                        
                      25   2620.9           0.0000                        
                      26   2976.3           0.0000                        
                      27   3358.4           0.0000                        
                      28   3767.2           0.0000                        
                      29   4202.4           0.0000                        
                      30   4663.8           0.0000                        
                      31   5150.9           0.0000                        
                      32   5663.2           0.0000                        
                      33   6199.8           0.0000                        
                      34   6759.7           0.0000                        
                      35   7341.5          0.27240E-06                    
                      36   7942.9          0.13912E-04                    
                      37   8564.6          0.54667E-04                    
                      38   9208.3          0.13136E-03                    
                      39   9873.6          0.27888E-03                    
                      40   10559.          0.54838E-03                    
                      41   11262.          0.10001E-02                    
                      42   11983.          0.17011E-02                    
                      43   12714.          0.27647E-02                    
                      44   13453.          0.42670E-02                    
                      45   14192.          0.63222E-02                    
                      46   14923.          0.90350E-02                    
                      47   15638.          0.12508E-01                    
                      48   16330.          0.16860E-01                    
                      49   16991.          0.22189E-01                    
                      50   17613.          0.28610E-01                    
                      51   18191.          0.36227E-01                    
                      52   18717.          0.45146E-01                    
                      53   19185.          0.55474E-01                    
                      54   19588.          0.67316E-01                    
                      55   19920.          0.80777E-01                    
                      56   20175.          0.95964E-01                    
                      57   20349.          0.11298                        
                      58   20434.          0.13193                        
                      59   20426.          0.15293                        
                      60   20319.          0.17609                        
                      61   20107.          0.20152                        
                      62   19785.          0.22931                        
                      63   19349.          0.25955                        
                      64   18799.          0.29199                        
                      65   18141.          0.32633                        
                      66   17386.          0.36220                        
                      67   16545.          0.39920                        
                      68   15634.          0.43691                        
                      69   14666.          0.47502                        
                      70   13653.          0.51328                        
                      71   12608.          0.55146                        
                      72   11543.          0.58932                        
                      73   10471.          0.62656                        
                      74   9405.2          0.66293                        
                      75   8356.3          0.69822                        
                      76   7335.2          0.73222                        
                      77   6353.9          0.76468                        
                      78   5422.8          0.79538                        
                      79   4550.2          0.82419                        
                      80   3743.5          0.85095                        
                      81   3010.1          0.87552                        
                      82   2356.2          0.89777                        
                      83   1784.9          0.91765                        
                      84   1297.7          0.93516                        
                      85   895.19          0.95027                        
                      86   576.31          0.96301                        
                      87   336.77          0.97347                        
                      88   162.04          0.98224                        
                      89   54.208          0.98915                        
                      90   6.5756          0.99420                        
                      91  0.31600E-02      0.99763                        
